step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
14000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.205535888671877e-10,2.3135715060763898e-10
14500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.992461204528812e-10,2.2188716464572496e-10
15000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.990172386169436e-10,2.2178543938530828e-10
15500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.780267715454104e-10,2.5690078735351573e-10
16000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.367612838745118e-10,2.3856057061089414e-10
16500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.862189292907717e-10,2.1609730190700966e-10
17000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.986572265625001e-10,2.2162543402777784e-10
17500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.802940368652345e-10,3.0235290527343754e-10
18000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.100584030151368e-10,2.2669262356228304e-10
18500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.140662193298341e-10,2.2847387525770404e-10
19000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.29172420501709e-10,2.35187742445204e-10
19500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.42402267456055e-10,2.4106767442491334e-10
20000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.209136962890626e-10,1.8707275390625004e-10
20500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.394411087036134e-10,2.397516038682726e-10
500,1.attn.c_attn.weight,4608,1536,3.0,1536,26,1.386522578705797e-09,1.8575880262586804e-10
1000,1.attn.c_attn.weight,4608,1536,3.0,1536,15,1.0867304928249018e-09,1.455942789713542e-10
1500,1.attn.c_attn.weight,4608,1536,3.0,1536,9,1.1077690889742045e-09,1.4841291639539932e-10
2000,1.attn.c_attn.weight,4608,1536,3.0,1536,7,1.568466889163905e-09,2.101347181532118e-10
2500,1.attn.c_attn.weight,4608,1536,3.0,1536,5,1.379625715607229e-09,1.8483479817708338e-10
3000,1.attn.c_attn.weight,4608,1536,3.0,1536,4,1.3016721804013897e-09,1.7439100477430554e-10
3500,1.attn.c_attn.weight,4608,1536,3.0,1536,4,1.4441018944828372e-09,1.934729682074653e-10
4000,1.attn.c_attn.weight,4608,1536,3.0,1536,3,1.3641235921287953e-09,1.8275790744357647e-10
4500,1.attn.c_attn.weight,4608,1536,3.0,1536,3,1.6207944651502924e-09,2.1714528401692715e-10
5000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.567011587776134e-09,2.0993974473741325e-10
5500,1.attn.c_attn.weight,4608,1536,3.0,1536,3,1.439957449226359e-09,1.9291771782769112e-10
6000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6361384036952722e-09,2.1920098198784723e-10
6500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.467260168740416e-09,1.9657558865017365e-10
7000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.441096380747223e-09,1.9307030571831607e-10
7500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.7104220484449923e-09,2.2915310329861116e-10
8000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.7736960218263547e-09,2.3763020833333337e-10
8500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.8622479475735716e-09,2.4949391682942713e-10
9000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6139608760251052e-09,2.1622975667317716e-10
9500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.676190828845675e-09,2.2456698947482643e-10
10000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.885089851964244e-09,2.525541517469619e-10
10500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.716053432075934e-09,2.299075656467015e-10
11000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,2.3390806109755203e-09,3.1337738037109387e-10
11500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.5858672318437803e-09,2.1246592203776049e-10
