step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
9500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.907093048095702e-08,2.118992275661891e-09
10000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.6013755798339844e-08,2.8904173109266493e-09
10500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.9550781249999995e-08,2.172309027777777e-09
11000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.1279411315917965e-08,2.364379035101996e-09
11500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.600616455078124e-08,2.8895738389756933e-09
12000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.0369491577148437e-08,2.263276841905382e-09
12500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.6891250610351553e-08,2.9879167344835057e-09
13000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.909393310546874e-08,2.12154812282986e-09
13500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.936115264892577e-08,2.1512391832139745e-09
14000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.4681129455566396e-08,2.742347717285155e-09
14500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.855422973632812e-08,2.0615810818142355e-09
15000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.9355239868164054e-08,2.1505822075737837e-09
15500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.5837020874023425e-08,1.7596689860026028e-09
16000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.1190109252929678e-08,2.354456583658853e-09
16500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.0569458007812497e-08,2.2854953342013886e-09
17000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.7914085388183584e-08,1.9904539320203984e-09
17500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.737846374511718e-08,3.042051527235242e-09
18000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.77576446533203e-08,1.9730716281467e-09
18500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.6124916076660148e-08,1.7916573418511276e-09
19000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.983268737792968e-08,2.2036319308810754e-09
19500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.0000495910644532e-08,2.222277323404948e-09
20000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.442813873291015e-08,2.7142376369900165e-09
20500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.111202239990234e-08,2.345780266655816e-09
21000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.8478546142578125e-08,2.0531717936197917e-09
21500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.842472076416015e-08,2.0471911960177948e-09
22000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.49993896484375e-08,1.6665988498263887e-09
22500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.717498779296875e-08,1.9083319769965278e-09
23000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.8318748474121086e-08,2.0354164971245652e-09
23500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.504657745361328e-08,1.6718419392903645e-09
24000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.4852333068847655e-08,1.6502592298719617e-09
24500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.9178695678710935e-08,2.130966186523437e-09
500,0.mlp.c_proj.weight,1536,6144,0.25,1536,20,2.250602245330811e-09,1.0002676645914716e-09
1000,0.mlp.c_proj.weight,1536,6144,0.25,1536,15,8.185887336730959e-10,3.638172149658204e-10
1500,0.mlp.c_proj.weight,1536,6144,0.25,1536,5,9.115386009216307e-10,4.051282670762803e-10
2000,0.mlp.c_proj.weight,1536,6144,0.25,1536,3,1.395583152770996e-09,6.202591790093315e-10
2500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.765172481536866e-09,7.845211029052737e-10
3000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.114082336425781e-09,4.951477050781248e-10
